id,acorn,acorn-grouped,aff
3688,ACORN-L,Adversity,0
3689,ACORN-F,Comfortable,0
3690,ACORN-H,Comfortable,0
3691,ACORN-O,Adversity,0
3692,ACORN-L,Adversity,0
3693,ACORN-Q,Adversity,0
3694,ACORN-O,Adversity,0
3696,ACORN-H,Comfortable,0
3697,ACORN-H,Comfortable,0
3698,ACORN-L,Adversity,0
3699,ACORN-H,Comfortable,0
3700,ACORN-P,Adversity,0
3701,ACORN-H,Comfortable,0
3702,ACORN-H,Comfortable,0
3704,ACORN-N,Adversity,0
3707,ACORN-Q,Adversity,0
3709,ACORN-D,Affluent,1
3710,ACORN-E,Affluent,1
3711,ACORN-E,Affluent,1
3712,ACORN-H,Comfortable,0
3714,ACORN-Q,Adversity,0
3715,ACORN-H,Comfortable,0
3716,ACORN-E,Affluent,1
3717,ACORN-F,Comfortable,0
3718,ACORN-A,Affluent,1
3719,ACORN-A,Affluent,1
3720,ACORN-H,Comfortable,0
3721,ACORN-J,Comfortable,0
3724,ACORN-E,Affluent,1
3725,ACORN-E,Affluent,1
3726,ACORN-L,Adversity,0
3727,ACORN-L,Adversity,0
3729,ACORN-G,Comfortable,0
3730,ACORN-O,Adversity,0
3731,ACORN-C,Affluent,1
3732,ACORN-H,Comfortable,0
3733,ACORN-G,Comfortable,0
3734,ACORN-G,Comfortable,0
3735,ACORN-G,Comfortable,0
3737,ACORN-A,Affluent,1
3739,ACORN-J,Comfortable,0
3740,ACORN-A,Affluent,1
3741,ACORN-Q,Adversity,0
3742,ACORN-O,Adversity,0
3743,ACORN-H,Comfortable,0
3744,ACORN-O,Adversity,0
3746,ACORN-E,Affluent,1
3748,ACORN-C,Affluent,1
3749,ACORN-M,Adversity,0
3750,ACORN-H,Comfortable,0
3751,ACORN-J,Comfortable,0
3752,ACORN-L,Adversity,0
3754,ACORN-H,Comfortable,0
3755,ACORN-C,Affluent,1
3756,ACORN-O,Adversity,0
3757,ACORN-L,Adversity,0
3759,ACORN-H,Comfortable,0
3761,ACORN-Q,Adversity,0
3763,ACORN-L,Adversity,0
3764,ACORN-K,Adversity,0
3765,ACORN-L,Adversity,0
3767,ACORN-Q,Adversity,0
3768,ACORN-H,Comfortable,0
3770,ACORN-L,Adversity,0
3772,ACORN-O,Adversity,0
3773,ACORN-L,Adversity,0
3774,ACORN-I,Comfortable,0
3775,ACORN-A,Affluent,1
3776,ACORN-C,Affluent,1
3777,ACORN-E,Affluent,1
3778,ACORN-J,Comfortable,0
3779,ACORN-O,Adversity,0
3780,ACORN-U,ACORN-U,0
3781,ACORN-N,Adversity,0
3784,ACORN-H,Comfortable,0
3785,ACORN-L,Adversity,0
3786,ACORN-M,Adversity,0
3787,ACORN-C,Affluent,1
3789,ACORN-E,Affluent,1
3790,ACORN-E,Affluent,1
3791,ACORN-J,Comfortable,0
3792,ACORN-Q,Adversity,0
3793,ACORN-L,Adversity,0
3794,ACORN-H,Comfortable,0
3795,ACORN-H,Comfortable,0
3796,ACORN-G,Comfortable,0
3797,ACORN-O,Adversity,0
3798,ACORN-N,Adversity,0
3799,ACORN-I,Comfortable,0
3800,ACORN-E,Affluent,1
3801,ACORN-H,Comfortable,0
3802,ACORN-J,Comfortable,0
3803,ACORN-I,Comfortable,0
3804,ACORN-C,Affluent,1
3805,ACORN-A,Affluent,1
3806,ACORN-H,Comfortable,0
3809,ACORN-H,Comfortable,0
3810,ACORN-G,Comfortable,0
3811,ACORN-F,Comfortable,0
3812,ACORN-H,Comfortable,0
3813,ACORN-Q,Adversity,0
3814,ACORN-G,Comfortable,0
3815,ACORN-H,Comfortable,0
3817,ACORN-A,Affluent,1
3818,ACORN-E,Affluent,1
3819,ACORN-G,Comfortable,0
3821,ACORN-L,Adversity,0
3822,ACORN-B,Affluent,1
3824,ACORN-N,Adversity,0
3825,ACORN-F,Comfortable,0
3826,ACORN-A,Affluent,1
3828,ACORN-G,Comfortable,0
3830,ACORN-G,Comfortable,0
3831,ACORN-G,Comfortable,0
3832,ACORN-H,Comfortable,0
3833,ACORN-H,Comfortable,0
3834,ACORN-H,Comfortable,0
3835,ACORN-N,Adversity,0
3836,ACORN-L,Adversity,0
3837,ACORN-N,Adversity,0
3838,ACORN-L,Adversity,0
3839,ACORN-H,Comfortable,0
3840,ACORN-A,Affluent,1
3841,ACORN-K,Adversity,0
3842,ACORN-H,Comfortable,0
3843,ACORN-C,Affluent,1
3844,ACORN-A,Affluent,1
3845,ACORN-E,Affluent,1
3846,ACORN-J,Comfortable,0
3847,ACORN-G,Comfortable,0
3849,ACORN-Q,Adversity,0
3850,ACORN-N,Adversity,0
3851,ACORN-A,Affluent,1
3853,ACORN-Q,Adversity,0
3854,ACORN-E,Affluent,1
3855,ACORN-H,Comfortable,0
3856,ACORN-A,Affluent,1
3857,ACORN-H,Comfortable,0
3858,ACORN-J,Comfortable,0
3859,ACORN-H,Comfortable,0
3860,ACORN-U,ACORN-U,0
3861,ACORN-K,Adversity,0
3863,ACORN-A,Affluent,1
3864,ACORN-I,Comfortable,0
3866,ACORN-H,Comfortable,0
3867,ACORN-H,Comfortable,0
3868,ACORN-G,Comfortable,0
3870,ACORN-G,Comfortable,0
3871,ACORN-G,Comfortable,0
3872,ACORN-Q,Adversity,0
3873,ACORN-H,Comfortable,0
3874,ACORN-A,Affluent,1
3875,ACORN-H,Comfortable,0
3876,ACORN-B,Affluent,1
3877,ACORN-J,Comfortable,0
3878,ACORN-H,Comfortable,0
3879,ACORN-H,Comfortable,0
3880,ACORN-L,Adversity,0
3881,ACORN-I,Comfortable,0
3882,ACORN-H,Comfortable,0
3883,ACORN-O,Adversity,0
3884,ACORN-U,ACORN-U,0
3885,ACORN-Q,Adversity,0
3886,ACORN-P,Adversity,0
3887,ACORN-M,Adversity,0
3888,ACORN-H,Comfortable,0
3889,ACORN-C,Affluent,1
3891,ACORN-L,Adversity,0
3893,ACORN-F,Comfortable,0
3894,ACORN-L,Adversity,0
3896,ACORN-H,Comfortable,0
3898,ACORN-E,Affluent,1
3900,ACORN-B,Affluent,1
3901,ACORN-C,Affluent,1
3902,ACORN-L,Adversity,0
3904,ACORN-G,Comfortable,0
3905,ACORN-F,Comfortable,0
3906,ACORN-E,Affluent,1
3907,ACORN-C,Affluent,1
3908,ACORN-B,Affluent,1
3909,ACORN-L,Adversity,0
3910,ACORN-E,Affluent,1
3912,ACORN-C,Affluent,1
3913,ACORN-N,Adversity,0
3917,ACORN-H,Comfortable,0
3918,ACORN-L,Adversity,0
3920,ACORN-E,Affluent,1
3921,ACORN-Q,Adversity,0
3922,ACORN-L,Adversity,0
3923,ACORN-N,Adversity,0
3924,ACORN-Q,Adversity,0
3925,ACORN-H,Comfortable,0
3926,ACORN-H,Comfortable,0
3927,ACORN-N,Adversity,0
3928,ACORN-F,Comfortable,0
3929,ACORN-O,Adversity,0
3930,ACORN-H,Comfortable,0
3931,ACORN-Q,Adversity,0
3932,ACORN-E,Affluent,1
3933,ACORN-C,Affluent,1
3934,ACORN-E,Affluent,1
3936,ACORN-Q,Adversity,0
3937,ACORN-F,Comfortable,0
3938,ACORN-E,Affluent,1
3939,ACORN-N,Adversity,0
3940,ACORN-E,Affluent,1
3941,ACORN-F,Comfortable,0
3942,ACORN-Q,Adversity,0
3943,ACORN-E,Affluent,1
3944,ACORN-E,Affluent,1
3945,ACORN-E,Affluent,1
3946,ACORN-E,Affluent,1
3948,ACORN-P,Adversity,0
3949,ACORN-E,Affluent,1
3950,ACORN-F,Comfortable,0
3952,ACORN-E,Affluent,1
3953,ACORN-E,Affluent,1
3955,ACORN-Q,Adversity,0
3956,ACORN-E,Affluent,1
3957,ACORN-F,Comfortable,0
3958,ACORN-D,Affluent,1
3959,ACORN-H,Comfortable,0
3961,ACORN-M,Adversity,0
3962,ACORN-E,Affluent,1
3963,ACORN-F,Comfortable,0
3964,ACORN-Q,Adversity,0
3965,ACORN-F,Comfortable,0
3966,ACORN-E,Affluent,1
3969,ACORN-H,Comfortable,0
3970,ACORN-E,Affluent,1
3971,ACORN-F,Comfortable,0
3972,ACORN-L,Adversity,0
3974,ACORN-E,Affluent,1
3976,ACORN-N,Adversity,0
3978,ACORN-Q,Adversity,0
3979,ACORN-F,Comfortable,0
3980,ACORN-Q,Adversity,0
3981,ACORN-F,Comfortable,0
3983,ACORN-F,Comfortable,0
3985,ACORN-E,Affluent,1
3986,ACORN-H,Comfortable,0
3987,ACORN-D,Affluent,1
3990,ACORN-K,Adversity,0
3992,ACORN-U,ACORN-U,0
3993,ACORN-E,Affluent,1
3994,ACORN-E,Affluent,1
3995,ACORN-P,Adversity,0
3996,ACORN-Q,Adversity,0
3997,ACORN-F,Comfortable,0
3999,ACORN-F,Comfortable,0
4002,ACORN-H,Comfortable,0
4003,ACORN-E,Affluent,1
4004,ACORN-Q,Adversity,0
4005,ACORN-Q,Adversity,0
4006,ACORN-D,Affluent,1
4007,ACORN-D,Affluent,1
4009,ACORN-F,Comfortable,0
4010,ACORN-U,ACORN-U,0
4011,ACORN-O,Adversity,0
4013,ACORN-E,Affluent,1
4014,ACORN-E,Affluent,1
4015,ACORN-E,Affluent,1
4016,ACORN-D,Affluent,1
4017,ACORN-O,Adversity,0
4018,ACORN-Q,Adversity,0
4019,ACORN-Q,Adversity,0
4020,ACORN-E,Affluent,1
4022,ACORN-E,Affluent,1
4023,ACORN-F,Comfortable,0
4026,ACORN-D,Affluent,1
4027,ACORN-P,Adversity,0
4028,ACORN-Q,Adversity,0
4029,ACORN-C,Affluent,1
4030,ACORN-F,Comfortable,0
4032,ACORN-G,Comfortable,0
4033,ACORN-L,Adversity,0
4034,ACORN-A,Affluent,1
4036,ACORN-L,Adversity,0
4038,ACORN-E,Affluent,1
4039,ACORN-F,Comfortable,0
4040,ACORN-C,Affluent,1
4041,ACORN-E,Affluent,1
4042,ACORN-L,Adversity,0
4043,ACORN-M,Adversity,0
4044,ACORN-Q,Adversity,0
4045,ACORN-E,Affluent,1
4046,ACORN-E,Affluent,1
4047,ACORN-P,Adversity,0
4048,ACORN-H,Comfortable,0
4049,ACORN-G,Comfortable,0
4051,ACORN-D,Affluent,1
4052,ACORN-Q,Adversity,0
4055,ACORN-E,Affluent,1
4056,ACORN-Q,Adversity,0
4057,ACORN-N,Adversity,0
4058,ACORN-J,Comfortable,0
4059,ACORN-F,Comfortable,0
4060,ACORN-G,Comfortable,0
4061,ACORN-Q,Adversity,0
4063,ACORN-F,Comfortable,0
4064,ACORN-Q,Adversity,0
4067,ACORN-U,ACORN-U,0
4068,ACORN-E,Affluent,1
4069,ACORN-U,ACORN-U,0
4070,ACORN-D,Affluent,1
4071,ACORN-Q,Adversity,0
4072,ACORN-E,Affluent,1
4073,ACORN-E,Affluent,1
4074,ACORN-Q,Adversity,0
4075,ACORN-D,Affluent,1
4077,ACORN-K,Adversity,0
4078,ACORN-Q,Adversity,0
4079,ACORN-Q,Adversity,0
4080,ACORN-E,Affluent,1
4081,ACORN-H,Comfortable,0
4082,ACORN-E,Affluent,1
4084,ACORN-E,Affluent,1
4085,ACORN-O,Adversity,0
4086,ACORN-P,Adversity,0
4087,ACORN-E,Affluent,1
4088,ACORN-Q,Adversity,0
4089,ACORN-Q,Adversity,0
4090,ACORN-F,Comfortable,0
4092,ACORN-Q,Adversity,0
4093,ACORN-F,Comfortable,0
4094,ACORN-E,Affluent,1
4095,ACORN-H,Comfortable,0
4096,ACORN-E,Affluent,1
4097,ACORN-Q,Adversity,0
4098,ACORN-H,Comfortable,0
4099,ACORN-E,Affluent,1
4101,ACORN-Q,Adversity,0
4102,ACORN-E,Affluent,1
4103,ACORN-N,Adversity,0
4104,ACORN-Q,Adversity,0
4105,ACORN-E,Affluent,1
4108,ACORN-C,Affluent,1
4109,ACORN-Q,Adversity,0
4110,ACORN-Q,Adversity,0
4111,ACORN-D,Affluent,1
4112,ACORN-E,Affluent,1
4113,ACORN-L,Adversity,0
4114,ACORN-H,Comfortable,0
4115,ACORN-E,Affluent,1
4116,ACORN-E,Affluent,1
4117,ACORN-F,Comfortable,0
4119,ACORN-Q,Adversity,0
4120,ACORN-J,Comfortable,0
4121,ACORN-F,Comfortable,0
4123,ACORN-Q,Adversity,0
4124,ACORN-F,Comfortable,0
4125,ACORN-L,Adversity,0
4127,ACORN-F,Comfortable,0
4128,ACORN-N,Adversity,0
4129,ACORN-Q,Adversity,0
4130,ACORN-G,Comfortable,0
4131,ACORN-K,Adversity,0
4132,ACORN-E,Affluent,1
4133,ACORN-F,Comfortable,0
4134,ACORN-G,Comfortable,0
4135,ACORN-F,Comfortable,0
4136,ACORN-E,Affluent,1
4137,ACORN-E,Affluent,1
4138,ACORN-G,Comfortable,0
4139,ACORN-E,Affluent,1
4140,ACORN-Q,Adversity,0
4141,ACORN-K,Adversity,0
4142,ACORN-U,ACORN-U,0
4143,ACORN-E,Affluent,1
4145,ACORN-F,Comfortable,0
4146,ACORN-E,Affluent,1
4147,ACORN-H,Comfortable,0
4148,ACORN-E,Affluent,1
4150,ACORN-Q,Adversity,0
4151,ACORN-G,Comfortable,0
4153,ACORN-E,Affluent,1
4154,ACORN-Q,Adversity,0
4156,ACORN-Q,Adversity,0
4158,ACORN-E,Affluent,1
4160,ACORN-L,Adversity,0
4161,ACORN-Q,Adversity,0
4162,ACORN-E,Affluent,1
4163,ACORN-F,Comfortable,0
4164,ACORN-N,Adversity,0
4165,ACORN-O,Adversity,0
4166,ACORN-H,Comfortable,0
4167,ACORN-H,Comfortable,0
4168,ACORN-Q,Adversity,0
4169,ACORN-L,Adversity,0
4171,ACORN-E,Affluent,1
4172,ACORN-K,Adversity,0
4173,ACORN-E,Affluent,1
4174,ACORN-E,Affluent,1
4175,ACORN-F,Comfortable,0
4176,ACORN-E,Affluent,1
4177,ACORN-L,Adversity,0
4178,ACORN-D,Affluent,1
4179,ACORN-A,Affluent,1
4180,ACORN-Q,Adversity,0
4181,ACORN-E,Affluent,1
4182,ACORN-Q,Adversity,0
4183,ACORN-Q,Adversity,0
4185,ACORN-E,Affluent,1
4186,ACORN-K,Adversity,0
4187,ACORN-Q,Adversity,0
4188,ACORN-F,Comfortable,0
4190,ACORN-P,Adversity,0
4191,ACORN-E,Affluent,1
4192,ACORN-E,Affluent,1
4193,ACORN-D,Affluent,1
4194,ACORN-E,Affluent,1
4195,ACORN-E,Affluent,1
4196,ACORN-E,Affluent,1
4197,ACORN-F,Comfortable,0
4198,ACORN-D,Affluent,1
4199,ACORN-P,Adversity,0
4200,ACORN-N,Adversity,0
4201,ACORN-F,Comfortable,0
4202,ACORN-F,Comfortable,0
4203,ACORN-F,Comfortable,0
4204,ACORN-G,Comfortable,0
4205,ACORN-D,Affluent,1
4207,ACORN-L,Adversity,0
4208,ACORN-Q,Adversity,0
4209,ACORN-Q,Adversity,0
4210,ACORN-E,Affluent,1
4211,ACORN-E,Affluent,1
4212,ACORN-F,Comfortable,0
4213,ACORN-E,Affluent,1
4214,ACORN-H,Comfortable,0
4215,ACORN-U,ACORN-U,0
4216,ACORN-E,Affluent,1
4217,ACORN-F,Comfortable,0
4219,ACORN-E,Affluent,1
4220,ACORN-F,Comfortable,0
4221,ACORN-E,Affluent,1
4222,ACORN-H,Comfortable,0
4224,ACORN-L,Adversity,0
4225,ACORN-D,Affluent,1
4226,ACORN-F,Comfortable,0
4227,ACORN-E,Affluent,1
4228,ACORN-Q,Adversity,0
4230,ACORN-F,Comfortable,0
4232,ACORN-Q,Adversity,0
4233,ACORN-E,Affluent,1
4235,ACORN-F,Comfortable,0
4237,ACORN-F,Comfortable,0
4238,ACORN-E,Affluent,1
4240,ACORN-K,Adversity,0
4241,ACORN-K,Adversity,0
4242,ACORN-D,Affluent,1
4243,ACORN-O,Adversity,0
4244,ACORN-J,Comfortable,0
4247,ACORN-A,Affluent,1
4248,ACORN-L,Adversity,0
4249,ACORN-C,Affluent,1
4250,ACORN-K,Adversity,0
4251,ACORN-E,Affluent,1
4252,ACORN-E,Affluent,1
4253,ACORN-F,Comfortable,0
4254,ACORN-F,Comfortable,0
4255,ACORN-H,Comfortable,0
4256,ACORN-N,Adversity,0
4257,ACORN-F,Comfortable,0
4259,ACORN-L,Adversity,0
4261,ACORN-L,Adversity,0
4262,ACORN-H,Comfortable,0
4265,ACORN-N,Adversity,0
4266,ACORN-E,Affluent,1
4267,ACORN-F,Comfortable,0
4268,ACORN-Q,Adversity,0
4269,ACORN-E,Affluent,1
4271,ACORN-G,Comfortable,0
4272,ACORN-E,Affluent,1
4273,ACORN-L,Adversity,0
4274,ACORN-F,Comfortable,0
4275,ACORN-H,Comfortable,0
4276,ACORN-D,Affluent,1
4277,ACORN-H,Comfortable,0
4278,ACORN-E,Affluent,1
4279,ACORN-H,Comfortable,0
4280,ACORN-D,Affluent,1
4281,ACORN-Q,Adversity,0
4282,ACORN-F,Comfortable,0
4284,ACORN-F,Comfortable,0
4285,ACORN-F,Comfortable,0
4286,ACORN-N,Adversity,0
4287,ACORN-B,Affluent,1
4288,ACORN-F,Comfortable,0
4289,ACORN-E,Affluent,1
4290,ACORN-F,Comfortable,0
4291,ACORN-Q,Adversity,0
4292,ACORN-D,Affluent,1
4293,ACORN-Q,Adversity,0
4294,ACORN-E,Affluent,1
4295,ACORN-L,Adversity,0
4296,ACORN-F,Comfortable,0
4297,ACORN-H,Comfortable,0
4298,ACORN-E,Affluent,1
4299,ACORN-F,Comfortable,0
4300,ACORN-E,Affluent,1
4301,ACORN-F,Comfortable,0
4302,ACORN-Q,Adversity,0
4304,ACORN-F,Comfortable,0
4305,ACORN-Q,Adversity,0
4306,ACORN-L,Adversity,0
4308,ACORN-E,Affluent,1
4310,ACORN-F,Comfortable,0
4311,ACORN-D,Affluent,1
4312,ACORN-F,Comfortable,0
4313,ACORN-F,Comfortable,0
4314,ACORN-J,Comfortable,0
4316,ACORN-L,Adversity,0
4317,ACORN-E,Affluent,1
4319,ACORN-A,Affluent,1
4321,ACORN-H,Comfortable,0
4322,ACORN-H,Comfortable,0
4324,ACORN-Q,Adversity,0
4325,ACORN-E,Affluent,1
4326,ACORN-H,Comfortable,0
4327,ACORN-E,Affluent,1
4328,ACORN-E,Affluent,1
4329,ACORN-O,Adversity,0
4330,ACORN-E,Affluent,1
4332,ACORN-E,Affluent,1
4333,ACORN-Q,Adversity,0
4335,ACORN-Q,Adversity,0
4336,ACORN-C,Affluent,1
4337,ACORN-F,Comfortable,0
4338,ACORN-G,Comfortable,0
4339,ACORN-E,Affluent,1
4340,ACORN-D,Affluent,1
4341,ACORN-E,Affluent,1
4342,ACORN-E,Affluent,1
4343,ACORN-E,Affluent,1
4344,ACORN-I,Comfortable,0
4345,ACORN-E,Affluent,1
4348,ACORN-D,Affluent,1
4349,ACORN-E,Affluent,1
4351,ACORN-E,Affluent,1
4352,ACORN-E,Affluent,1
4353,ACORN-E,Affluent,1
4355,ACORN-E,Affluent,1
4356,ACORN-E,Affluent,1
4357,ACORN-Q,Adversity,0
4358,ACORN-Q,Adversity,0
4359,ACORN-N,Adversity,0
4360,ACORN-D,Affluent,1
4365,ACORN-M,Adversity,0
4367,ACORN-C,Affluent,1
4368,ACORN-F,Comfortable,0
4369,ACORN-C,Affluent,1
4370,ACORN-Q,Adversity,0
4371,ACORN-F,Comfortable,0
4372,ACORN-M,Adversity,0
4373,ACORN-E,Affluent,1
4375,ACORN-F,Comfortable,0
4376,ACORN-O,Adversity,0
4377,ACORN-E,Affluent,1
4378,ACORN-F,Comfortable,0
4379,ACORN-E,Affluent,1
4380,ACORN-E,Affluent,1
4382,ACORN-Q,Adversity,0
4383,ACORN-E,Affluent,1
4384,ACORN-Q,Adversity,0
4385,ACORN-D,Affluent,1
4386,ACORN-D,Affluent,1
4387,ACORN-A,Affluent,1
4388,ACORN-E,Affluent,1
4389,ACORN-D,Affluent,1
4390,ACORN-E,Affluent,1
4391,ACORN-H,Comfortable,0
4393,ACORN-Q,Adversity,0
4394,ACORN-E,Affluent,1
4395,ACORN-Q,Adversity,0
4397,ACORN-I,Comfortable,0
4398,ACORN-E,Affluent,1
4401,ACORN-I,Comfortable,0
4402,ACORN-E,Affluent,1
4403,ACORN-Q,Adversity,0
4404,ACORN-E,Affluent,1
4405,ACORN-Q,Adversity,0
4406,ACORN-C,Affluent,1
4407,ACORN-N,Adversity,0
4409,ACORN-D,Affluent,1
4410,ACORN-E,Affluent,1
4411,ACORN-E,Affluent,1
4412,ACORN-F,Comfortable,0
4413,ACORN-E,Affluent,1
4414,ACORN-N,Adversity,0
4415,ACORN-C,Affluent,1
4416,ACORN-Q,Adversity,0
4417,ACORN-B,Affluent,1
4418,ACORN-F,Comfortable,0
4420,ACORN-F,Comfortable,0
4421,ACORN-E,Affluent,1
4423,ACORN-H,Comfortable,0
4425,ACORN-Q,Adversity,0
4426,ACORN-E,Affluent,1
4427,ACORN-Q,Adversity,0
4428,ACORN-E,Affluent,1
4429,ACORN-F,Comfortable,0
4430,ACORN-E,Affluent,1
4431,ACORN-A,Affluent,1
4432,ACORN-E,Affluent,1
4433,ACORN-L,Adversity,0
4434,ACORN-D,Affluent,1
4435,ACORN-Q,Adversity,0
4437,ACORN-Q,Adversity,0
4438,ACORN-E,Affluent,1
4440,ACORN-H,Comfortable,0
4441,ACORN-F,Comfortable,0
4442,ACORN-Q,Adversity,0
4443,ACORN-E,Affluent,1
4444,ACORN-F,Comfortable,0
4446,ACORN-E,Affluent,1
4447,ACORN-C,Affluent,1
