id,acorn,acorn-grouped
2381,ACORN-E,Affluent
2382,ACORN-Q,Adversity
2383,ACORN-F,Comfortable
2384,ACORN-Q,Adversity
2385,ACORN-M,Adversity
2386,ACORN-L,Adversity
2387,ACORN-O,Adversity
2388,ACORN-H,Comfortable
2389,ACORN-F,Comfortable
2390,ACORN-E,Affluent
2391,ACORN-Q,Adversity
2392,ACORN-Q,Adversity
2393,ACORN-F,Comfortable
2394,ACORN-E,Affluent
2395,ACORN-F,Comfortable
2396,ACORN-M,Adversity
2397,ACORN-F,Comfortable
2399,ACORN-E,Affluent
2400,ACORN-Q,Adversity
2401,ACORN-H,Comfortable
2402,ACORN-Q,Adversity
2403,ACORN-Q,Adversity
2405,ACORN-G,Comfortable
2406,ACORN-O,Adversity
2407,ACORN-E,Affluent
2408,ACORN-Q,Adversity
2410,ACORN-O,Adversity
2411,ACORN-H,Comfortable
2412,ACORN-K,Adversity
2414,ACORN-L,Adversity
2415,ACORN-N,Adversity
2416,ACORN-Q,Adversity
2417,ACORN-F,Comfortable
2419,ACORN-Q,Adversity
2420,ACORN-H,Comfortable
2422,ACORN-F,Comfortable
2423,ACORN-L,Adversity
2424,ACORN-Q,Adversity
2425,ACORN-L,Adversity
2426,ACORN-Q,Adversity
2427,ACORN-Q,Adversity
2428,ACORN-D,Affluent
2429,ACORN-P,Adversity
2430,ACORN-F,Comfortable
2431,ACORN-L,Adversity
2434,ACORN-E,Affluent
2435,ACORN-P,Adversity
2436,ACORN-E,Affluent
2437,ACORN-H,Comfortable
2438,ACORN-Q,Adversity
2440,ACORN-K,Adversity
2441,ACORN-E,Affluent
2442,ACORN-E,Affluent
2443,ACORN-G,Comfortable
2447,ACORN-E,Affluent
2449,ACORN-F,Comfortable
2450,ACORN-N,Adversity
2451,ACORN-F,Comfortable
2453,ACORN-O,Adversity
2454,ACORN-E,Affluent
2456,ACORN-N,Adversity
2458,ACORN-D,Affluent
2459,ACORN-N,Adversity
2460,ACORN-F,Comfortable
2461,ACORN-G,Comfortable
2462,ACORN-O,Adversity
2465,ACORN-F,Comfortable
2466,ACORN-F,Comfortable
2467,ACORN-K,Adversity
2468,ACORN-I,Comfortable
2469,ACORN-E,Affluent
2471,ACORN-E,Affluent
2474,ACORN-C,Affluent
2475,ACORN-Q,Adversity
2477,ACORN-E,Affluent
2478,ACORN-E,Affluent
2479,ACORN-E,Affluent
2480,ACORN-F,Comfortable
2481,ACORN-C,Affluent
2483,ACORN-Q,Adversity
2485,ACORN-U,ACORN-U
2487,ACORN-F,Comfortable
2489,ACORN-F,Comfortable
2492,ACORN-E,Affluent
2493,ACORN-H,Comfortable
2494,ACORN-E,Affluent
2495,ACORN-E,Affluent
2498,ACORN-E,Affluent
2499,ACORN-E,Affluent
2500,ACORN-F,Comfortable
2501,ACORN-Q,Adversity
2502,ACORN-F,Comfortable
2503,ACORN-C,Affluent
2504,ACORN-E,Affluent
2505,ACORN-D,Affluent
2506,ACORN-E,Affluent
2509,ACORN-E,Affluent
2510,ACORN-E,Affluent
2511,ACORN-Q,Adversity
2512,ACORN-E,Affluent
2513,ACORN-E,Affluent
2514,ACORN-E,Affluent
2515,ACORN-H,Comfortable
2516,ACORN-O,Adversity
2517,ACORN-E,Affluent
2518,ACORN-E,Affluent
2519,ACORN-E,Affluent
2521,ACORN-F,Comfortable
2522,ACORN-E,Affluent
2523,ACORN-Q,Adversity
2524,ACORN-K,Adversity
2525,ACORN-E,Affluent
2526,ACORN-H,Comfortable
2527,ACORN-Q,Adversity
2528,ACORN-B,Affluent
2529,ACORN-F,Comfortable
2530,ACORN-E,Affluent
2531,ACORN-Q,Adversity
2532,ACORN-F,Comfortable
2535,ACORN-G,Comfortable
2537,ACORN-Q,Adversity
2538,ACORN-F,Comfortable
2539,ACORN-E,Affluent
2540,ACORN-I,Comfortable
2541,ACORN-Q,Adversity
2542,ACORN-E,Affluent
2543,ACORN-E,Affluent
2544,ACORN-H,Comfortable
2545,ACORN-E,Affluent
2546,ACORN-E,Affluent
2547,ACORN-O,Adversity
2548,ACORN-E,Affluent
2549,ACORN-E,Affluent
2550,ACORN-E,Affluent
2551,ACORN-Q,Adversity
2553,ACORN-L,Adversity
2554,ACORN-F,Comfortable
2555,ACORN-D,Affluent
2556,ACORN-E,Affluent
2557,ACORN-E,Affluent
2558,ACORN-E,Affluent
2559,ACORN-Q,Adversity
2561,ACORN-H,Comfortable
2562,ACORN-A,Affluent
2563,ACORN-A,Affluent
2564,ACORN-E,Affluent
2565,ACORN-I,Comfortable
2567,ACORN-E,Affluent
2569,ACORN-Q,Adversity
2570,ACORN-E,Affluent
2571,ACORN-E,Affluent
2572,ACORN-Q,Adversity
2573,ACORN-E,Affluent
2575,ACORN-C,Affluent
2576,ACORN-Q,Adversity
2577,ACORN-F,Comfortable
2579,ACORN-P,Adversity
2580,ACORN-P,Adversity
2581,ACORN-E,Affluent
2582,ACORN-C,Affluent
2583,ACORN-E,Affluent
2584,ACORN-E,Affluent
2587,ACORN-E,Affluent
2588,ACORN-E,Affluent
2590,ACORN-E,Affluent
2591,ACORN-H,Comfortable
2592,ACORN-H,Comfortable
2594,ACORN-Q,Adversity
2595,ACORN-C,Affluent
2597,ACORN-E,Affluent
2598,ACORN-E,Affluent
2599,ACORN-C,Affluent
2600,ACORN-Q,Adversity
2601,ACORN-A,Affluent
2603,ACORN-E,Affluent
2605,ACORN-E,Affluent
2606,ACORN-C,Affluent
2607,ACORN-Q,Adversity
2608,ACORN-E,Affluent
2610,ACORN-J,Comfortable
2611,ACORN-E,Affluent
2612,ACORN-H,Comfortable
2613,ACORN-A,Affluent
2615,ACORN-E,Affluent
2616,ACORN-E,Affluent
2617,ACORN-E,Affluent
2619,ACORN-F,Comfortable
2620,ACORN-E,Affluent
2621,ACORN-E,Affluent
2623,ACORN-E,Affluent
2624,ACORN-J,Comfortable
2626,ACORN-E,Affluent
2627,ACORN-D,Affluent
2628,ACORN-A,Affluent
2629,ACORN-Q,Adversity
2630,ACORN-F,Comfortable
2631,ACORN-H,Comfortable
2632,ACORN-Q,Adversity
2635,ACORN-E,Affluent
2636,ACORN-E,Affluent
2637,ACORN-K,Adversity
2638,ACORN-Q,Adversity
2639,ACORN-Q,Adversity
2640,ACORN-F,Comfortable
2641,ACORN-E,Affluent
2642,ACORN-Q,Adversity
2643,ACORN-L,Adversity
2644,ACORN-E,Affluent
2646,ACORN-Q,Adversity
2647,ACORN-U,ACORN-U
2648,ACORN-E,Affluent
2649,ACORN-D,Affluent
2650,ACORN-F,Comfortable
2651,ACORN-F,Comfortable
2652,ACORN-Q,Adversity
2653,ACORN-Q,Adversity
2654,ACORN-H,Comfortable
2655,ACORN-K,Adversity
2656,ACORN-E,Affluent
2657,ACORN-K,Adversity
2658,ACORN-H,Comfortable
2659,ACORN-Q,Adversity
2660,ACORN-E,Affluent
2661,ACORN-P,Adversity
2662,ACORN-E,Affluent
2663,ACORN-E,Affluent
2664,ACORN-K,Adversity
2666,ACORN-E,Affluent
2667,ACORN-G,Comfortable
2669,ACORN-H,Comfortable
2670,ACORN-D,Affluent
2671,ACORN-P,Adversity
2674,ACORN-Q,Adversity
2676,ACORN-E,Affluent
2681,ACORN-E,Affluent
2682,ACORN-F,Comfortable
2683,ACORN-E,Affluent
2684,ACORN-F,Comfortable
2685,ACORN-Q,Adversity
2687,ACORN-Q,Adversity
2688,ACORN-H,Comfortable
2689,ACORN-Q,Adversity
2691,ACORN-E,Affluent
2693,ACORN-E,Affluent
2696,ACORN-P,Adversity
2697,ACORN-E,Affluent
2698,ACORN-F,Comfortable
2699,ACORN-G,Comfortable
2700,ACORN-Q,Adversity
2702,ACORN-E,Affluent
2703,ACORN-N,Adversity
2704,ACORN-H,Comfortable
2705,ACORN-Q,Adversity
2706,ACORN-L,Adversity
2707,ACORN-Q,Adversity
2708,ACORN-G,Comfortable
2709,ACORN-Q,Adversity
2711,ACORN-Q,Adversity
2714,ACORN-I,Comfortable
2715,ACORN-F,Comfortable
2716,ACORN-F,Comfortable
2717,ACORN-Q,Adversity
2718,ACORN-G,Comfortable
2719,ACORN-E,Affluent
2720,ACORN-U,ACORN-U
2721,ACORN-H,Comfortable
2723,ACORN-Q,Adversity
2724,ACORN-E,Affluent
2725,ACORN-D,Affluent
2727,ACORN-E,Affluent
2729,ACORN-E,Affluent
2730,ACORN-E,Affluent
2731,ACORN-F,Comfortable
2733,ACORN-F,Comfortable
2734,ACORN-O,Adversity
2735,ACORN-E,Affluent
2736,ACORN-Q,Adversity
2737,ACORN-E,Affluent
2739,ACORN-N,Adversity
2740,ACORN-E,Affluent
2742,ACORN-K,Adversity
2743,ACORN-Q,Adversity
2744,ACORN-E,Affluent
2745,ACORN-I,Comfortable
2746,ACORN-F,Comfortable
2747,ACORN-Q,Adversity
2748,ACORN-F,Comfortable
2749,ACORN-H,Comfortable
2750,ACORN-E,Affluent
2751,ACORN-D,Affluent
2752,ACORN-E,Affluent
2753,ACORN-F,Comfortable
2754,ACORN-E,Affluent
2755,ACORN-F,Comfortable
2756,ACORN-E,Affluent
2757,ACORN-E,Affluent
2759,ACORN-G,Comfortable
2760,ACORN-M,Adversity
2761,ACORN-E,Affluent
2762,ACORN-P,Adversity
2763,ACORN-H,Comfortable
2764,ACORN-E,Affluent
2766,ACORN-N,Adversity
2767,ACORN-E,Affluent
2768,ACORN-M,Adversity
2770,ACORN-O,Adversity
2771,ACORN-Q,Adversity
2772,ACORN-E,Affluent
2773,ACORN-Q,Adversity
2775,ACORN-Q,Adversity
2776,ACORN-H,Comfortable
2777,ACORN-E,Affluent
2778,ACORN-N,Adversity
2779,ACORN-D,Affluent
2780,ACORN-H,Comfortable
2781,ACORN-Q,Adversity
2782,ACORN-K,Adversity
2783,ACORN-F,Comfortable
2784,ACORN-E,Affluent
2785,ACORN-N,Adversity
2787,ACORN-G,Comfortable
2788,ACORN-H,Comfortable
2789,ACORN-G,Comfortable
2790,ACORN-E,Affluent
2791,ACORN-E,Affluent
2793,ACORN-Q,Adversity
2796,ACORN-I,Comfortable
2799,ACORN-F,Comfortable
2801,ACORN-P,Adversity
2802,ACORN-Q,Adversity
2803,ACORN-Q,Adversity
2804,ACORN-E,Affluent
2805,ACORN-D,Affluent
2806,ACORN-L,Adversity
2807,ACORN-E,Affluent
2808,ACORN-Q,Adversity
2810,ACORN-E,Affluent
2812,ACORN-D,Affluent
2813,ACORN-A,Affluent
2815,ACORN-E,Affluent
2816,ACORN-N,Adversity
2817,ACORN-E,Affluent
2818,ACORN-F,Comfortable
2819,ACORN-Q,Adversity
2820,ACORN-D,Affluent
2821,ACORN-Q,Adversity
2822,ACORN-H,Comfortable
2823,ACORN-L,Adversity
2824,ACORN-Q,Adversity
2825,ACORN-Q,Adversity
2828,ACORN-H,Comfortable
2829,ACORN-C,Affluent
2830,ACORN-P,Adversity
2831,ACORN-E,Affluent
2832,ACORN-Q,Adversity
2834,ACORN-F,Comfortable
2835,ACORN-E,Affluent
2837,ACORN-F,Comfortable
2838,ACORN-Q,Adversity
2840,ACORN-Q,Adversity
2841,ACORN-E,Affluent
2842,ACORN-J,Comfortable
2843,ACORN-K,Adversity
2844,ACORN-H,Comfortable
2846,ACORN-Q,Adversity
2847,ACORN-G,Comfortable
2849,ACORN-H,Comfortable
2850,ACORN-L,Adversity
2851,ACORN-D,Affluent
2852,ACORN-Q,Adversity
2853,ACORN-E,Affluent
2854,ACORN-Q,Adversity
2856,ACORN-Q,Adversity
2857,ACORN-L,Adversity
2858,ACORN-E,Affluent
2859,ACORN-C,Affluent
2860,ACORN-E,Affluent
2862,ACORN-C,Affluent
2863,ACORN-P,Adversity
2865,ACORN-E,Affluent
2866,ACORN-L,Adversity
2867,ACORN-Q,Adversity
2870,ACORN-O,Adversity
2871,ACORN-N,Adversity
2872,ACORN-F,Comfortable
2873,ACORN-F,Comfortable
2875,ACORN-Q,Adversity
2876,ACORN-E,Affluent
2877,ACORN-L,Adversity
2878,ACORN-Q,Adversity
2880,ACORN-E,Affluent
2882,ACORN-Q,Adversity
2883,ACORN-K,Adversity
2884,ACORN-D,Affluent
2885,ACORN-D,Affluent
2887,ACORN-Q,Adversity
2888,ACORN-E,Affluent
2889,ACORN-H,Comfortable
2890,ACORN-F,Comfortable
2892,ACORN-K,Adversity
2893,ACORN-O,Adversity
2896,ACORN-E,Affluent
2898,ACORN-Q,Adversity
2899,ACORN-Q,Adversity
2900,ACORN-L,Adversity
2902,ACORN-P,Adversity
2903,ACORN-N,Adversity
2904,ACORN-F,Comfortable
2905,ACORN-Q,Adversity
2906,ACORN-Q,Adversity
2907,ACORN-E,Affluent
2908,ACORN-H,Comfortable
2911,ACORN-Q,Adversity
2912,ACORN-H,Comfortable
2913,ACORN-M,Adversity
2914,ACORN-E,Affluent
2916,ACORN-Q,Adversity
2917,ACORN-Q,Adversity
2919,ACORN-E,Affluent
2920,ACORN-E,Affluent
2921,ACORN-E,Affluent
2922,ACORN-F,Comfortable
2923,ACORN-H,Comfortable
2924,ACORN-A,Affluent
2928,ACORN-D,Affluent
2929,ACORN-D,Affluent
2933,ACORN-P,Adversity
2934,ACORN-Q,Adversity
2936,ACORN-Q,Adversity
2937,ACORN-A,Affluent
2938,ACORN-P,Adversity
2939,ACORN-E,Affluent
2940,ACORN-P,Adversity
2941,ACORN-E,Affluent
2942,ACORN-F,Comfortable
2943,ACORN-E,Affluent
2944,ACORN-F,Comfortable
2945,ACORN-E,Affluent
2946,ACORN-D,Affluent
2947,ACORN-E,Affluent
2948,ACORN-Q,Adversity
2949,ACORN-E,Affluent
2950,ACORN-Q,Adversity
2952,ACORN-K,Adversity
2953,ACORN-E,Affluent
2955,ACORN-E,Affluent
2956,ACORN-F,Comfortable
2957,ACORN-F,Comfortable
2958,ACORN-Q,Adversity
2960,ACORN-F,Comfortable
2961,ACORN-K,Adversity
2962,ACORN-H,Comfortable
2964,ACORN-F,Comfortable
2965,ACORN-D,Affluent
2966,ACORN-E,Affluent
2967,ACORN-Q,Adversity
2968,ACORN-E,Affluent
2969,ACORN-Q,Adversity
2972,ACORN-E,Affluent
2973,ACORN-F,Comfortable
2974,ACORN-E,Affluent
2975,ACORN-N,Adversity
2976,ACORN-Q,Adversity
2977,ACORN-E,Affluent
2978,ACORN-D,Affluent
2979,ACORN-P,Adversity
2980,ACORN-E,Affluent
2981,ACORN-J,Comfortable
2984,ACORN-F,Comfortable
2986,ACORN-P,Adversity
2987,ACORN-F,Comfortable
2988,ACORN-Q,Adversity
2989,ACORN-E,Affluent
2990,ACORN-E,Affluent
2991,ACORN-M,Adversity
2993,ACORN-Q,Adversity
2994,ACORN-F,Comfortable
2996,ACORN-K,Adversity
2998,ACORN-F,Comfortable
2999,ACORN-H,Comfortable
3000,ACORN-H,Comfortable
3001,ACORN-C,Affluent
3002,ACORN-H,Comfortable
3003,ACORN-Q,Adversity
3004,ACORN-E,Affluent
3005,ACORN-E,Affluent
3006,ACORN-E,Affluent
3007,ACORN-E,Affluent
3008,ACORN-L,Adversity
3009,ACORN-Q,Adversity
3010,ACORN-E,Affluent
3011,ACORN-E,Affluent
3012,ACORN-H,Comfortable
3013,ACORN-D,Affluent
3015,ACORN-K,Adversity
3016,ACORN-E,Affluent
3017,ACORN-E,Affluent
3018,ACORN-D,Affluent
3020,ACORN-Q,Adversity
3021,ACORN-Q,Adversity
3023,ACORN-Q,Adversity
3024,ACORN-Q,Adversity
3025,ACORN-J,Comfortable
3026,ACORN-N,Adversity
3027,ACORN-Q,Adversity
3028,ACORN-F,Comfortable
3029,ACORN-F,Comfortable
3030,ACORN-M,Adversity
3031,ACORN-Q,Adversity
3032,ACORN-Q,Adversity
3033,ACORN-C,Affluent
3034,ACORN-F,Comfortable
3036,ACORN-Q,Adversity
3038,ACORN-Q,Adversity
3039,ACORN-E,Affluent
3040,ACORN-Q,Adversity
3041,ACORN-H,Comfortable
3042,ACORN-G,Comfortable
3046,ACORN-E,Affluent
3048,ACORN-K,Adversity
3050,ACORN-F,Comfortable
3051,ACORN-H,Comfortable
3052,ACORN-E,Affluent
3053,ACORN-J,Comfortable
3054,ACORN-E,Affluent
3056,ACORN-E,Affluent
3057,ACORN-F,Comfortable
3058,ACORN-E,Affluent
3059,ACORN-Q,Adversity
3060,ACORN-Q,Adversity
3062,ACORN-O,Adversity
3063,ACORN-D,Affluent
3064,ACORN-Q,Adversity
3065,ACORN-C,Affluent
3066,ACORN-E,Affluent
3067,ACORN-E,Affluent
3070,ACORN-Q,Adversity
3071,ACORN-E,Affluent
3072,ACORN-A,Affluent
3073,ACORN-E,Affluent
3074,ACORN-K,Adversity
3075,ACORN-E,Affluent
3076,ACORN-K,Adversity
3077,ACORN-H,Comfortable
3078,ACORN-U,ACORN-U
3079,ACORN-L,Adversity
3081,ACORN-H,Comfortable
3083,ACORN-E,Affluent
3084,ACORN-Q,Adversity
3085,ACORN-H,Comfortable
3086,ACORN-N,Adversity
3087,ACORN-P,Adversity
3089,ACORN-L,Adversity
3090,ACORN-L,Adversity
3091,ACORN-H,Comfortable
3092,ACORN-G,Comfortable
3093,ACORN-D,Affluent
3095,ACORN-H,Comfortable
3096,ACORN-Q,Adversity
3098,ACORN-E,Affluent
3100,ACORN-D,Affluent
3101,ACORN-F,Comfortable
3103,ACORN-E,Affluent
3104,ACORN-M,Adversity
3105,ACORN-E,Affluent
3106,ACORN-E,Affluent
3107,ACORN-M,Adversity
3108,ACORN-Q,Adversity
3109,ACORN-L,Adversity
3110,ACORN-A,Affluent
3112,ACORN-N,Adversity
3113,ACORN-E,Affluent
3114,ACORN-E,Affluent
3115,ACORN-E,Affluent
3117,ACORN-Q,Adversity
3118,ACORN-F,Comfortable
3119,ACORN-H,Comfortable
3121,ACORN-F,Comfortable
3122,ACORN-E,Affluent
3123,ACORN-Q,Adversity
3125,ACORN-F,Comfortable
3126,ACORN-F,Comfortable
3127,ACORN-L,Adversity
3128,ACORN-H,Comfortable
3129,ACORN-M,Adversity
3130,ACORN-E,Affluent
3131,ACORN-Q,Adversity
3132,ACORN-F,Comfortable
3133,ACORN-H,Comfortable
3134,ACORN-Q,Adversity
3136,ACORN-O,Adversity
3137,ACORN-C,Affluent
3138,ACORN-Q,Adversity
3139,ACORN-M,Adversity
3141,ACORN-E,Affluent
3142,ACORN-H,Comfortable
3143,ACORN-M,Adversity
3144,ACORN-K,Adversity
3146,ACORN-D,Affluent
3147,ACORN-E,Affluent
3148,ACORN-E,Affluent
3149,ACORN-K,Adversity
3150,ACORN-E,Affluent
3152,ACORN-F,Comfortable
3153,ACORN-E,Affluent
3154,ACORN-H,Comfortable
3158,ACORN-E,Affluent
3159,ACORN-E,Affluent
3160,ACORN-E,Affluent
3161,ACORN-Q,Adversity
3162,ACORN-K,Adversity
3163,ACORN-U,ACORN-U
3164,ACORN-L,Adversity
3166,ACORN-A,Affluent
3167,ACORN-N,Adversity
3168,ACORN-Q,Adversity
3169,ACORN-G,Comfortable
3171,ACORN-H,Comfortable
3172,ACORN-L,Adversity
3173,ACORN-B,Affluent
3174,ACORN-G,Comfortable
3176,ACORN-I,Comfortable
3177,ACORN-N,Adversity
3179,ACORN-M,Adversity
3181,ACORN-L,Adversity
3182,ACORN-A,Affluent
3183,ACORN-H,Comfortable
3184,ACORN-C,Affluent
3186,ACORN-I,Comfortable
3187,ACORN-G,Comfortable
3188,ACORN-H,Comfortable
3189,ACORN-L,Adversity
3190,ACORN-H,Comfortable
3191,ACORN-L,Adversity
3192,ACORN-L,Adversity
3193,ACORN-L,Adversity
3194,ACORN-M,Adversity
3195,ACORN-H,Comfortable
3197,ACORN-L,Adversity
3199,ACORN-M,Adversity
3200,ACORN-J,Comfortable
3203,ACORN-N,Adversity
3204,ACORN-C,Affluent
3205,ACORN-N,Adversity
3206,ACORN-H,Comfortable
3207,ACORN-O,Adversity
3208,ACORN-H,Comfortable
3209,ACORN-N,Adversity
3210,ACORN-H,Comfortable
3212,ACORN-A,Affluent
3213,ACORN-J,Comfortable
3214,ACORN-J,Comfortable
3215,ACORN-N,Adversity
3216,ACORN-H,Comfortable
3217,ACORN-N,Adversity
3218,ACORN-U,ACORN-U
3219,ACORN-H,Comfortable
3220,ACORN-C,Affluent
3222,ACORN-H,Comfortable
3223,ACORN-A,Affluent
3224,ACORN-L,Adversity
3225,ACORN-B,Affluent
3226,ACORN-M,Adversity
3227,ACORN-N,Adversity
3228,ACORN-G,Comfortable
3229,ACORN-D,Affluent
3230,ACORN-G,Comfortable
3231,ACORN-C,Affluent
3232,ACORN-N,Adversity
3233,ACORN-L,Adversity
3234,ACORN-G,Comfortable
3235,ACORN-C,Affluent
3236,ACORN-H,Comfortable
3237,ACORN-H,Comfortable
3239,ACORN-A,Affluent
3240,ACORN-H,Comfortable
3241,ACORN-H,Comfortable
3242,ACORN-L,Adversity
3243,ACORN-N,Adversity
3244,ACORN-G,Comfortable
3246,ACORN-P,Adversity
3248,ACORN-I,Comfortable
3249,ACORN-N,Adversity
3250,ACORN-H,Comfortable
3251,ACORN-M,Adversity
3252,ACORN-A,Affluent
3253,ACORN-L,Adversity
3254,ACORN-L,Adversity
3255,ACORN-G,Comfortable
3258,ACORN-L,Adversity
3260,ACORN-C,Affluent
3261,ACORN-H,Comfortable
3263,ACORN-L,Adversity
3264,ACORN-H,Comfortable
3266,ACORN-G,Comfortable
3267,ACORN-L,Adversity
3270,ACORN-L,Adversity
3271,ACORN-H,Comfortable
